RelativeTime(sec)	ID1-Accerlation-X(G)	ID1-Accerlation-Y(G)	ID1-Accerlation-Z(G)	ID2-Accerlation-X(G)	ID2-Accerlation-Y(G)	ID2-Accerlation-Z(G)	ID3-Accerlation-X(G)	ID3-Accerlation-Y(G)	ID3-Accerlation-Z(G)	Pressure-1(bar)	Pressure-2(bar)	Pressure-3(bar)	Pressure-4(bar)	Pressure-5(bar)	Pressure-6(bar)	Pressure-7(bar)	Pressure-8(bar)	
0.367	0.000	0.000	0.000	0.977	-0.056	0.197	-0.010	-0.006	0.998	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.373	0.000	0.000	0.000	0.976	-0.057	0.199	-0.011	-0.006	1.001	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.377	0.000	0.000	0.000	0.982	-0.056	0.201	-0.009	-0.005	1.005	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.383	0.000	0.000	0.000	0.976	-0.057	0.203	-0.011	-0.007	0.998	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.387	0.000	0.000	0.000	0.977	-0.055	0.204	-0.010	-0.008	1.005	0.000	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.392	0.000	0.000	0.000	0.977	-0.056	0.200	-0.011	-0.004	1.001	0.000	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.397	0.000	0.000	0.000	0.979	-0.055	0.203	-0.010	-0.009	1.000	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.402	0.000	0.000	0.000	0.979	-0.056	0.199	-0.011	-0.007	0.995	0.092	0.000	0.000	0.000	0.000	98.195	3.847	0.000	
0.408	0.000	0.000	0.000	0.975	-0.053	0.205	-0.012	-0.007	1.000	0.092	0.000	0.000	0.000	0.000	98.195	3.847	0.000	
0.412	0.000	0.000	0.000	0.976	-0.057	0.195	-0.010	-0.003	1.000	0.092	0.000	0.000	0.000	0.000	98.195	3.847	0.000	
0.418	0.000	0.000	0.000	0.980	-0.057	0.197	-0.012	-0.006	1.008	0.183	0.000	0.000	0.000	0.000	98.287	3.847	0.000	
0.422	0.000	0.000	0.000	0.978	-0.054	0.199	-0.011	-0.005	1.003	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.428	0.000	0.000	0.000	0.976	-0.058	0.201	-0.008	-0.006	0.998	0.000	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.432	0.000	0.000	0.000	0.978	-0.056	0.204	-0.009	-0.007	1.000	0.000	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.438	0.000	0.000	0.000	0.974	-0.059	0.199	-0.010	-0.007	0.994	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.442	0.000	0.000	0.000	0.978	-0.057	0.197	-0.010	-0.007	0.998	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.447	0.000	0.000	0.000	0.976	-0.058	0.203	-0.011	-0.001	1.001	0.092	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.452	0.000	0.000	0.000	0.977	-0.056	0.201	-0.010	-0.009	0.998	0.092	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.458	0.000	0.000	0.000	0.979	-0.055	0.199	-0.008	-0.008	0.994	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.462	0.000	0.000	0.000	0.977	-0.052	0.199	-0.011	-0.006	1.001	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.467	0.000	0.000	0.000	0.979	-0.056	0.200	-0.007	-0.003	0.991	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.472	0.000	0.000	0.000	0.977	-0.054	0.197	-0.007	-0.008	0.998	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.477	0.000	0.000	0.000	0.978	-0.056	0.198	-0.010	-0.009	0.999	0.092	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.482	0.000	0.000	0.000	0.978	-0.055	0.197	-0.010	-0.002	0.999	0.092	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.488	0.000	0.000	0.000	0.981	-0.057	0.200	-0.008	-0.009	0.999	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.492	0.000	0.000	0.000	0.974	-0.052	0.196	-0.011	-0.010	1.004	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.498	0.000	0.000	0.000	0.978	-0.059	0.199	-0.011	-0.007	0.999	0.000	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.502	0.000	0.000	0.000	0.976	-0.057	0.207	-0.009	-0.008	0.998	0.000	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.508	0.000	0.000	0.000	0.978	-0.054	0.205	-0.011	-0.005	1.001	0.000	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.512	0.000	0.000	0.000	0.976	-0.055	0.201	-0.009	-0.006	1.005	0.000	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.517	0.000	0.000	0.000	0.977	-0.058	0.201	-0.010	-0.006	0.998	0.000	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.523	0.000	0.000	0.000	0.979	-0.054	0.199	-0.008	-0.007	0.999	0.092	0.000	0.000	0.000	0.000	98.195	3.847	0.000	
0.527	0.000	0.000	0.000	0.979	-0.055	0.201	-0.008	-0.009	1.000	0.092	0.000	0.000	0.000	0.000	98.378	3.847	0.000	
0.532	0.000	0.000	0.000	0.978	-0.057	0.201	-0.009	-0.006	1.002	0.092	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.537	0.000	0.000	0.000	0.980	-0.056	0.202	-0.010	-0.006	0.996	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.542	0.000	0.000	0.000	0.972	-0.059	0.203	-0.011	-0.007	0.999	0.092	0.000	0.000	0.000	0.000	98.195	4.030	0.000	
0.548	0.000	0.000	0.000	0.978	-0.058	0.204	-0.009	-0.006	1.000	0.000	0.000	0.000	0.000	0.000	98.195	4.030	0.000	
0.552	0.000	0.000	0.000	0.977	-0.054	0.201	-0.009	-0.004	1.001	0.000	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.557	0.000	0.000	0.000	0.981	-0.056	0.192	-0.011	-0.008	1.001	0.000	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.562	0.000	0.000	0.000	0.975	-0.056	0.198	-0.010	-0.006	1.000	0.000	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.567	0.000	0.000	0.000	0.980	-0.058	0.202	-0.008	-0.007	0.995	0.000	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.573	0.000	0.000	0.000	0.978	-0.055	0.203	-0.009	-0.008	0.996	0.000	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.577	0.000	0.000	0.000	0.980	-0.054	0.202	-0.011	-0.006	0.997	0.000	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.583	0.000	0.000	0.000	0.975	-0.056	0.200	-0.012	-0.006	0.992	0.000	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.588	0.000	0.000	0.000	0.977	-0.056	0.203	-0.012	-0.005	0.996	0.000	0.000	0.000	0.000	0.000	98.104	3.939	0.000	
0.592	0.000	0.000	0.000	0.976	-0.054	0.198	-0.014	-0.006	0.999	0.000	0.000	0.000	0.000	0.000	98.104	3.847	0.000	
0.598	0.000	0.000	0.000	0.980	-0.053	0.201	-0.011	-0.006	1.000	0.000	0.000	0.000	0.000	0.000	98.195	3.847	0.000	
0.603	0.000	0.000	0.000	0.976	-0.054	0.202	-0.009	-0.006	1.000	0.000	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.607	0.000	0.000	0.000	0.975	-0.050	0.201	-0.011	-0.008	1.004	0.183	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.613	0.000	0.000	0.000	0.983	-0.052	0.203	-0.010	-0.006	0.999	0.183	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.617	0.000	0.000	0.000	0.978	-0.055	0.203	-0.011	-0.005	0.998	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.623	0.000	0.000	0.000	0.978	-0.057	0.206	-0.013	-0.007	1.001	0.092	0.000	0.000	0.000	0.000	98.195	3.847	0.000	
0.628	0.000	0.000	0.000	0.978	-0.055	0.197	-0.009	-0.008	1.004	0.092	0.000	0.000	0.000	0.000	98.195	3.847	0.000	
0.632	0.000	0.000	0.000	0.980	-0.056	0.203	-0.009	-0.003	1.000	0.092	0.000	0.000	0.000	0.000	98.195	3.847	0.000	
0.638	0.000	0.000	0.000	0.976	-0.053	0.199	-0.006	-0.007	1.000	0.092	0.000	0.000	0.000	0.000	98.195	3.847	0.000	
0.642	0.000	0.000	0.000	0.976	-0.056	0.200	-0.013	-0.007	1.001	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.648	0.000	0.000	0.000	0.978	-0.055	0.199	-0.009	-0.008	1.006	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.652	0.000	0.000	0.000	0.977	-0.050	0.200	-0.011	-0.006	1.000	0.092	0.000	0.000	0.000	0.000	98.195	3.939	0.000	
0.658	0.000	0.000	0.000	0.976	-0.054	0.202	-0.010	-0.007	0.999	0.092	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.662	0.000	0.000	0.000	0.978	-0.054	0.198	-0.013	-0.006	1.000	0.092	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.668	0.000	0.000	0.000	0.979	-0.054	0.199	-0.011	-0.005	1.000	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.673	0.000	0.000	0.000	0.980	-0.056	0.198	-0.011	-0.008	1.003	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.678	0.000	0.000	0.000	0.982	-0.057	0.201	-0.011	-0.007	1.001	0.092	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.682	0.000	0.000	0.000	0.976	-0.063	0.193	-0.014	-0.002	1.004	0.092	0.000	0.000	0.000	0.000	98.378	3.939	0.000	
0.687	0.000	0.000	0.000	0.978	-0.057	0.201	-0.007	-0.006	1.004	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.693	0.000	0.000	0.000	0.979	-0.055	0.198	-0.011	-0.007	1.000	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.698	0.000	0.000	0.000	0.979	-0.056	0.203	-0.012	-0.005	1.001	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.702	0.000	0.000	0.000	0.978	-0.054	0.201	-0.010	-0.006	1.003	0.183	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
0.708	0.000	0.000	0.000	0.979	-0.052	0.200	-0.010	-0.005	0.997	0.183	0.000	0.000	0.000	0.000	98.287	4.030	0.000	
0.713	0.000	0.000	0.000	0.977	-0.052	0.200	-0.013	-0.008	0.998	0.183	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.717	0.000	0.000	0.000	0.977	-0.055	0.198	-0.009	-0.006	0.998	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.723	0.000	0.000	0.000	0.978	-0.054	0.206	-0.012	-0.007	0.997	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
0.727	0.000	0.000	0.000	0.980	-0.056	0.198	-0.010	-0.007	0.998	0.092	0.000	0.000	0.000	0.000	98.287	3.939	0.000	
